City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
1648186,Bontang,ID,0.1333,117.5,85.05,67,53,9.26
3440777,Rocha,UY,-34.4833,-54.3333,40.87,87,3,2.44
5392593,San Ramon,US,37.7799,-121.978,55.72,74,1,3.0
141736,Bam,IR,29.106,58.357,76.98,14,0,5.1
3939761,Hualmay,PE,-11.0964,-77.6139,62.91,89,99,12.77
488618,Starosubkhangulovo,RU,53.1031,57.4423,31.35,94,7,2.48
60019,Eyl,SO,7.9803,49.8164,77.45,79,98,13.69
847634,Rypefjord,NO,70.6333,23.6667,37.87,87,75,12.66
4726521,San Patricio,US,28.017,-97.5169,77.2,55,0,7.52
3194099,Opatija,HR,45.3392,14.3083,56.01,73,100,19.91
1510689,Baykit,RU,61.67,96.37,36.14,96,100,4.0
2180815,Tuatapere,NZ,-46.1333,167.6833,56.82,76,97,2.13
245669,Adré,TD,13.4667,22.2,78.35,25,93,8.25
3687972,Calamar,CO,10.2511,-74.9146,82.35,91,90,7.45
686090,Asău,RO,46.4333,26.4,33.57,70,100,3.94
535113,Lipin Bor,RU,60.2622,37.9763,41.7,73,100,13.4
3658666,Cuenca,EC,-2.8833,-78.9833,60.93,67,75,4.61
696292,Prymors'k,UA,46.7348,36.3443,49.32,62,100,21.97
2031964,Darhan,MN,49.4867,105.9228,42.82,77,100,4.92
3521108,Progreso,MX,21.2833,-89.6667,82.11,84,99,11.18
3359736,Vredendal,ZA,-31.6683,18.5012,55.87,84,77,4.07
3386177,Trairi,BR,-3.2778,-39.2689,79.0,83,88,9.86
556279,Inzer,RU,54.2167,57.5556,33.21,93,6,1.74
2729907,Longyearbyen,SJ,78.2186,15.6401,19.24,79,0,10.36
3397763,Jacareacanga,BR,-6.2222,-57.7528,73.54,98,100,2.93
1848976,Wajima,JP,37.4,136.9,77.68,73,75,6.91
